Region,Crude_Yearly_Average,Elec_Yearly_Average,NG_Yearly_Average,Dwelling_Type,Energy_Consumption,Yearly_GHG_Emission
Ontario,0.163999721,152951.7591,0.228662238,Duplex,6523262,170001
Ontario,0.163999721,152951.7591,0.228662238,Low-rise apartment (fewer than 5 stories),14420485,170001
Ontario,0.163999721,152951.7591,0.228662238,High-rise apartment (5 stories or more),37362642,170001
Ontario,0.163999721,152951.7591,0.228662238,Mobile home,0,170001
Saskatchewan,136.0941285,21195.29695,26.02144623,Single-detached,31190021,67030
Saskatchewan,136.0941285,21195.29695,26.02144623,Double,0,67030
Saskatchewan,136.0941285,21195.29695,26.02144623,Row or terrace,0,67030
Saskatchewan,136.0941285,21195.29695,26.02144623,Duplex,0,67030
Saskatchewan,136.0941285,21195.29695,26.02144623,Low-rise apartment (fewer than 5 stories),3465647,67030
Saskatchewan,136.0941285,21195.29695,26.02144623,High-rise apartment (5 stories or more),0,67030
Saskatchewan,136.0941285,21195.29695,26.02144623,Mobile home,0,67030
Saskatchewan,154.3213433,23181.99951,23.44387031,Single-detached,40422655,73029
Saskatchewan,154.3213433,23181.99951,23.44387031,Double,0,73029
Saskatchewan,154.3213433,23181.99951,23.44387031,Row or terrace,0,73029
Saskatchewan,154.3213433,23181.99951,23.44387031,Duplex,0,73029
Saskatchewan,154.3213433,23181.99951,23.44387031,Low-rise apartment (fewer than 5 stories),3354719,73029
Saskatchewan,154.3213433,23181.99951,23.44387031,High-rise apartment (5 stories or more),0,73029
Saskatchewan,154.3213433,23181.99951,23.44387031,Mobile home,0,73029
Saskatchewan,154.8823365,23419.96228,24.47961611,Single-detached,40082720,76312
Saskatchewan,154.8823365,23419.96228,24.47961611,Double,0,76312
Saskatchewan,154.8823365,23419.96228,24.47961611,Row or terrace,0,76312
Saskatchewan,154.8823365,23419.96228,24.47961611,Duplex,0,76312
Saskatchewan,154.8823365,23419.96228,24.47961611,Low-rise apartment (fewer than 5 stories),1571656,76312
Saskatchewan,154.8823365,23419.96228,24.47961611,High-rise apartment (5 stories or more),0,76312
Saskatchewan,154.8823365,23419.96228,24.47961611,Mobile home,0,76312
Saskatchewan,155.0614524,24179.00012,22.16034696,Single-detached,44016795,73865
Saskatchewan,155.0614524,24179.00012,22.16034696,Double,0,73865
Saskatchewan,155.0614524,24179.00012,22.16034696,Row or terrace,0,73865
Saskatchewan,155.0614524,24179.00012,22.16034696,Duplex,0,73865
Saskatchewan,155.0614524,24179.00012,22.16034696,Low-rise apartment (fewer than 5 stories),0,73865
Saskatchewan,155.0614524,24179.00012,22.16034696,High-rise apartment (5 stories or more),0,73865
Saskatchewan,155.0614524,24179.00012,22.16034696,Mobile home,0,73865
